Sample,Name,Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Sample N6,Sample N6,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,0.0781
Sample N6,Sample N6,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,DQ824660_g,0.0104
Sample N6,Sample N6,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Raoultibacter,0.0781
Sample N6,Sample N6,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,0.0156
Sample N6,Sample N6,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,PAC002999_g,0.0104
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,GU174038_g,0.4582
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,HM008751_g,7.0246
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002801_g,5.4624
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,Unassigned,0.0625
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,EF148839_f,AB185635_g,1.2914
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,EU463196_g,0.2343
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,0.07289999999999999
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,AF001778_g,0.0573
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC001421_g,0.30720000000000003
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC002859_g,0.0208
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,3.9888000000000003
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,AF371915_g,0.0417
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,EU463395_g,0.40620000000000006
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,EU794251_g,0.3176
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,GU303877_g,0.6977000000000001
Sample N6,Sample N6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,PAC002928_g,1.6298000000000001
Sample N6,Sample N6,Bacteria,Cyanobacteria,PAC002560_c,PAC000393_o,GU174155_f,GU174155_g,0.0469
Sample N6,Sample N6,Bacteria,Cyanobacteria,Vampirovibrio_c,FR888536_o,FR888536_f,FR888536_g,0.08839999999999999
Sample N6,Sample N6,Bacteria,EU844128_p,EU844128_c,EU844128_o,EU844128_f,EU844128_g,0.026
Sample N6,Sample N6,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,0.1718
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,AY442821_g,0.026
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,0.0156
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001115_g,0.2187
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001207_g,1.1873
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001437_g,0.5831999999999999
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Dehalobacterium_f,PAC001447_g,0.026
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,0.0417
