Sample,Name,Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Sample N8,Sample N8,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Raoultibacter,0.0153
Sample N8,Sample N8,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,PAC002999_g,0.0077
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,GU174038_g,0.0192
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,HM008751_g,7.4465
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,KC163097_g,0.0306
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,PAC002801_g,2.0993
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AC160630_f,Unassigned,0.0345
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,AY244965_f,AY244965_g,0.0115
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.0153
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,EF148839_f,AB185635_g,0.0192
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,0.0077
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,EU463196_g,1.5973
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,0.069
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,AB239491_g,0.0077
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,AF001778_g,0.2911
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC001421_g,0.7814
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,PAC002859_g,0.3103
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,12.0508
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,AF371915_g,0.0345
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,EU463395_g,0.0498
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,EU794251_g,0.1187
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,GU303877_g,2.8997
Sample N8,Sample N8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16_f,PAC002928_g,0.5671
Sample N8,Sample N8,Bacteria,Cyanobacteria,PAC002560_c,PAC000393_o,GU174155_f,GU174155_g,0.046
Sample N8,Sample N8,Bacteria,Cyanobacteria,Vampirovibrio_c,FR888536_o,FR888536_f,FR888536_g,1.5321
Sample N8,Sample N8,Bacteria,EU844128_p,EU844128_c,EU844128_o,EU844128_f,EU844128_g,0.0268
Sample N8,Sample N8,Bacteria,Elusimicrobia,Elusimicrobia_c,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,0.046
Sample N8,Sample N8,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,0.134
Sample N8,Sample N8,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,AY442821_g,0.1111
Sample N8,Sample N8,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,FJ848448_g,0.0384
Sample N8,Sample N8,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001115_g,0.1188
Sample N8,Sample N8,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001141_g,0.0345
Sample N8,Sample N8,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001207_g,1.8885999999999998
Sample N8,Sample N8,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,PAC001437_g,1.7507000000000001
